,omm_id,hydro_year,helio,hr,nub,pres_est,pres_nm,td,tmax,tmed,tmin,vmax_d,vmax_f,vmed,caudal,PTA,PMDA
86,87349,1984,7.3101492537313435,65.07397260273973,4.041551246537396,975.085205479452,1014.2942465753425,10.056438356164383,23.56794520547945,17.595890410958905,10.933424657534246,25.52054794520548,3.600821917808219,1.8136986301369864,,767.7,62.9
87,87349,1985,7.088268156424581,66.88219178082191,3.824657534246575,975.1243835616439,1014.2709589041096,11.364383561643836,24.374175824175826,18.504383561643838,11.825274725274724,24.663013698630138,3.9038356164383563,2.010958904109589,,787.1,62.0
88,87349,1986,6.945027624309392,66.37637362637362,4.071232876712329,975.2903846153846,1014.4458791208791,11.26510989010989,24.145479452054797,18.517582417582418,11.70027397260274,25.246575342465754,3.7509589041095888,1.9934246575342467,,985.9,93.3
89,87349,1987,6.984122562674095,62.505464480874316,3.8278688524590163,975.3628415300547,1014.568306010929,9.864207650273224,23.89178082191781,18.162295081967212,11.745628415300546,24.73497267759563,3.7942622950819676,1.8868852459016394,,577.5,46.5
90,87349,1988,8.215193370165746,56.05769230769231,2.8219178082191783,975.6654794520549,1014.8860273972604,8.410989010989011,25.216986301369865,18.851373626373626,11.392561983471074,25.34246575342466,4.285753424657534,2.0915068493150684,,675.5,107.0
91,87349,1989,7.20391061452514,64.34794520547945,3.756164383561644,975.3150684931506,1014.5304109589041,10.433424657534246,23.976164383561642,18.33945205479452,11.932506887052341,22.994520547945207,4.502465753424658,2.325205479452055,,823.8,112.0
92,87349,1990,7.363532763532763,68.54794520547945,3.695890410958904,975.6654794520549,1014.765205479452,11.072602739726028,24.22876712328767,17.839178082191783,12.24532967032967,21.317808219178083,4.657260273972603,2.2673972602739725,,939.5,150.9
93,87349,1991,6.594034090909091,73.12021857923497,3.778688524590164,974.9849726775956,1014.1513661202187,11.05136612021858,23.1724043715847,16.62185792349727,11.558743169398907,18.275956284153004,4.892349726775956,2.2855191256830603,,804.1,118.0
94,87349,1992,6.790201729106628,72.5041095890411,3.7726027397260276,975.5065753424658,1014.6756232686981,10.972328767123289,23.12684931506849,16.692876712328765,11.566575342465754,19.517808219178082,7.46027397260274,3.020821917808219,,1124.5,89.7
95,87349,1993,6.95192878338279,69.27123287671233,3.643835616438356,975.5574850299402,1014.7415977961433,9.998082191780822,23.208219178082192,16.543835616438358,11.172602739726027,19.953424657534246,7.515890410958905,3.1731506849315068,,630.8,91.6
96,87349,1994,7.594879518072289,66.67397260273972,3.9863013698630136,976.1419354838711,1014.2564383561643,10.308767123287671,24.47917808219178,17.56904109589041,11.886027397260273,19.21095890410959,7.872328767123288,2.9232876712328766,,651.5,63.5
97,87349,1995,7.584426229508197,63.52459016393443,3.4344262295081966,975.25,1014.3601092896174,8.965573770491803,24.353825136612024,17.331693989071038,11.570765027322404,19.64207650273224,7.910928961748634,2.607650273224044,,709.7,79.0
98,87349,1996,7.83013698630137,63.553424657534244,3.1397260273972605,975.7487671232876,1014.8430136986302,9.476986301369863,24.957808219178084,17.65945205479452,11.776164383561644,17.30958904109589,8.39917808219178,2.8372602739726025,,605.9,48.0
99,87349,1997,6.501098901098901,72.56986301369864,4.254794520547946,974.7375342465754,1013.8819178082192,11.072876712328767,23.128493150684932,16.91260273972603,11.766849315068493,16.47945205479452,7.6808219178082195,2.9186301369863012,,1110.0,98.4
